
Epoch [104/200], Loss: 0.6780, Accuracy: 0.5793
Epoch [105/200], Loss: 0.6589, Accuracy: 0.5815
Epoch [106/200], Loss: 0.7086, Accuracy: 0.5769
Epoch [107/200], Loss: 0.6551, Accuracy: 0.5797
Epoch [108/200], Loss: 0.6540, Accuracy: 0.5771
Epoch [109/200], Loss: 0.6846, Accuracy: 0.5803
Epoch [110/200], Loss: 0.5743, Accuracy: 0.5816
Epoch [111/200], Loss: 0.7447, Accuracy: 0.5799
Epoch [112/200], Loss: 0.6961, Accuracy: 0.5832
Epoch [113/200], Loss: 0.6487, Accuracy: 0.5815
Epoch [114/200], Loss: 0.6619, Accuracy: 0.5813
Epoch [115/200], Loss: 0.6523, Accuracy: 0.5830
Epoch [116/200], Loss: 0.6646, Accuracy: 0.5862
Epoch [117/200], Loss: 0.6770, Accuracy: 0.5836
Epoch [118/200], Loss: 0.6240, Accuracy: 0.5840
Epoch [119/200], Loss: 0.6302, Accuracy: 0.5817
Epoch [120/200], Loss: 0.6806, Accuracy: 0.5869
Epoch [121/200], Loss: 0.6657, Accuracy: 0.5848
Epoch [122/200], Loss: 0.6912, Accuracy: 0.5833
Epoch [123/200], Loss: 0.6336, Accuracy: 0.5875
Epoch [124/200], Loss: 0.6849, Accuracy: 0.5859
Epoch [125/200], Loss: 0.6762, Accuracy: 0.5853
Epoch [126/200], Loss: 0.6639, Accuracy: 0.5858
Epoch [127/200], Loss: 0.6525, Accuracy: 0.5836
Epoch [128/200], Loss: 0.6485, Accuracy: 0.5859
Epoch [129/200], Loss: 0.6237, Accuracy: 0.5872
Epoch [130/200], Loss: 0.6586, Accuracy: 0.5873
Epoch [131/200], Loss: 0.6193, Accuracy: 0.5852
Epoch [132/200], Loss: 0.6227, Accuracy: 0.5875
Epoch [133/200], Loss: 0.6338, Accuracy: 0.5884
Epoch [134/200], Loss: 0.6631, Accuracy: 0.5878
Epoch [135/200], Loss: 0.6552, Accuracy: 0.5897
Epoch [136/200], Loss: 0.6596, Accuracy: 0.5893
Epoch [137/200], Loss: 0.6399, Accuracy: 0.5896
Epoch [138/200], Loss: 0.6646, Accuracy: 0.5916
Epoch [139/200], Loss: 0.5738, Accuracy: 0.5870
Epoch [140/200], Loss: 0.6932, Accuracy: 0.5921
Epoch [141/200], Loss: 0.6696, Accuracy: 0.5914
Epoch [142/200], Loss: 0.6048, Accuracy: 0.5906
Epoch [143/200], Loss: 0.6473, Accuracy: 0.5907
Epoch [144/200], Loss: 0.6670, Accuracy: 0.5939
Epoch [145/200], Loss: 0.6409, Accuracy: 0.5941
Epoch [146/200], Loss: 0.6644, Accuracy: 0.5933
Epoch [147/200], Loss: 0.6381, Accuracy: 0.5919
Epoch [148/200], Loss: 0.6734, Accuracy: 0.5914
Epoch [149/200], Loss: 0.6500, Accuracy: 0.5933
Epoch [150/200], Loss: 0.6823, Accuracy: 0.5960
